,cutTime,cutAcc
0,1703571731905,12.639708626711128
1,1703571732693,12.46756634949236
2,1703571733043,15.188129346008386
3,1703571733876,20.210564406850715
4,1703571733887,12.148810679026539
5,1703571734746,12.343945600325442
6,1703571735845,24.854864136462613
7,1703571736821,12.148381078346588
8,1703571737713,13.380713714953695
9,1703571738038,12.395023830544428
10,1703571738459,12.508697144025462
11,1703571738754,14.69986533601866
12,1703571741491,13.726585642451385
13,1703571741692,12.25367838219471
14,1703571741894,12.659175052386942
15,1703571742335,23.30255989284729
16,1703571742747,21.619856278022688
17,1703571743156,20.62609195319025
18,1703571743649,24.365087624389634
19,1703571744126,22.228433097587992
20,1703571744758,20.07867200920751
21,1703571744983,21.420511773467176
22,1703571745592,24.177018010722847
23,1703571746087,18.96972349981953
24,1703571746526,20.686335774051486
25,1703571746973,17.340068338967654
26,1703571747306,14.037072627924195
27,1703571747908,28.22502094712068
28,1703571748558,17.469792943770635
29,1703571749045,17.496946173292898
30,1703571749606,21.167484172510107
31,1703571750226,12.9681072023864
32,1703571750808,14.167001037563443
33,1703571751236,31.76227324155231
34,1703571751726,18.81523112541687
35,1703571752573,21.841691885943955
36,1703571753212,20.428694770886075
37,1703571753835,17.561552447010317
38,1703571754159,12.524765453916823
39,1703571755219,20.218335048481265
40,1703571756396,19.01664587746693
41,1703571757368,16.144605737438088
42,1703571758427,17.729209571199537
43,1703571759441,22.158930955003786
44,1703571760050,23.063629676343943
45,1703571760701,19.52544569086049
46,1703571761310,20.288442550251876
47,1703571762284,17.715926833574414
48,1703571762932,19.08935807642122
49,1703571763540,17.73268747482273
50,1703571764157,15.712689808157851
51,1703571765332,12.055088094182349
52,1703571765939,19.497716822769505
53,1703571766560,22.004371643712098
54,1703571767116,19.144479543901255
55,1703571768054,15.663915065161072
56,1703571768846,16.383270021932223
57,1703571769348,14.753052887463022
58,1703571770035,14.457186466127228
59,1703571770811,16.397440409962147
60,1703571771623,13.240424388327972
61,1703571772072,12.148952735934278
62,1703571772801,13.301202669894522
63,1703571774386,17.254899907546115
64,1703571774997,14.651144399874136
65,1703571775522,17.124302541464054
66,1703571776212,15.289725876765123
67,1703571777024,17.606796525536545
68,1703571777555,17.86324043212815
69,1703571777875,12.979553571636144
70,1703571778463,18.843595841018722
71,1703571778734,12.838119863622808
72,1703571779644,16.86441101828036
73,1703571781053,12.410041721578333
74,1703571781657,12.448082802480679
75,1703571782171,13.813033963954313
76,1703571783038,18.34817308267104
77,1703571783604,17.97186944382011
78,1703571784479,15.937393836924183
79,1703571786162,19.236548164693193
80,1703571786940,15.065377192813662
81,1703571788476,16.851809383861
82,1703571789271,20.756611399207966
83,1703571789736,12.628941859913864
84,1703571790103,12.387791590461319
85,1703571790460,12.183722821167414
86,1703571790957,12.781947006617147
87,1703571791969,14.47512704558402
88,1703571792661,16.020745248818795
89,1703571792893,12.684034733542065
90,1703571793353,18.239497074866154
91,1703571794609,15.149752518068198
92,1703571795319,15.262344429470648
93,1703571795591,13.378783868206556
94,1703571795832,13.157334291071436
95,1703571796845,15.33441788118848
96,1703571797721,13.611768823388761
97,1703571798222,15.486724381306942
98,1703571798944,15.388095207094024
99,1703571799931,15.044252694660788
100,1703571800986,18.77665060839837
101,1703571801919,16.26859778470689
102,1703571802613,13.244139586425597
103,1703571803507,19.35535037792576
104,1703571804397,20.947992611500283
105,1703571805412,21.759051745958505
106,1703571806916,19.282868292651855
107,1703571807972,19.75422239383808
108,1703571810531,17.0293293167936
