time,heartRate
1657259911398,96.39045
1657259912378,96.67742
1657259913366,96.65971
1657259914341,96.568344
1657259915328,95.462975
1657259916265,95.462975
1657259917289,95.3059
1657259918304,95.2827
1657259919258,95.293915
1657259920237,96.40871
1657259921232,96.62905
1657259922148,96.62905
1657259923199,97.53384
1657259924178,97.67418
1657259925156,98.736565
1657259926151,98.869286
1657259927124,100.40482
1657259928049,100.40482
1657259929091,101.11195
1657259930071,101.204765
1657259931055,102.314766
1657259932083,100.01846
1657259933020,100.97157
1657259933950,100.97157
1657259934982,99.160225
1657259935963,98.75498
1657259936950,98.56507
1657259937930,100.27682
1657259938922,99.62603
1657259939840,99.62603
1657259940876,99.81881
1657259941865,99.965164
1657259942846,100.09841
1657259943822,101.2272
1657259944813,101.82312
1657259945764,101.82312
1657259946779,98.92557
1657259947762,100.33265
1657259948736,100.50968
1657259949732,100.36246
1657259950704,100.33159
1657259951621,100.33159
1657259952669,100.28997
1657259953647,100.27739
1657259954636,100.25288
1657259955617,100.024826
1657259956595,107.16005
1657259957522,107.16005
1657259958563,106.73804
1657259959567,107.79143
1657259960528,105.6274
1657259961504,105.43745
1657259962491,105.366936
1657259963416,105.366936
1657259964449,104.70163
1657259965437,104.48949
1657259966424,104.58111
1657259967395,104.350174
1657259968382,103.61586
1657259969304,103.61586
1657259970347,103.39757
1657259971330,103.25829
1657259972311,103.11433
1657259973302,105.26545
1657259974285,105.751945
1657259975197,105.751945
1657259976251,105.97034
1657259977222,103.66021
1657259978208,103.761986
1657259979195,103.85591
1657259980168,103.94704
1657259981100,103.94704
1657259982140,104.03663
1657259983115,104.12503
1657259984100,103.6927
1657259985073,103.751495
1657259986066,104.00483
1657259986990,104.00483
1657259988021,103.76974
1657259989015,104.309044
1657259989995,104.36895
1657259990975,104.29462
1657259991964,103.835396
1657259992899,103.835396
1657259993928,103.6681
1657259994907,103.54012
1657259995885,103.415695
1657259996873,103.077065
1657259997866,102.873055
1657259998771,102.873055
1657259999818,102.676994
1657260000790,102.27291
1657260001779,102.02862
1657260002770,101.578514
1657260003746,101.28158
1657260004670,101.28158
1657260005714,101.02833
1657260006684,100.54455
1657260007673,99.9989
1657260008647,98.974396
1657260009665,99.0511
1657260010561,99.0511
1657260011610,98.65997
1657260012581,98.32653
1657260013565,98.021454
1657260014543,97.04085
1657260015529,94.65309
1657260016451,94.65309
1657260017505,95.84368
1657260018479,96.91155
1657260019453,96.983986
1657260020437,96.98321
1657260021430,96.963585
1657260022340,96.963585
1657260023423,96.93957
1657260024371,96.91478
1657260025358,96.89006
1657260026341,96.86556
1657260027308,96.84137
1657260028237,96.84137
1657260029277,96.81746
1657260030251,96.793884
1657260031237,96.7706
1657260032213,96.74762
1657260033214,93.85446
1657260034129,93.85446
1657260035161,93.23656
1657260036145,92.97214
1657260037157,93.55206
1657260038103,93.7312
1657260039094,93.74346
1657260040031,93.74346
1657260041058,93.70831
1657260042039,92.16138
1657260043014,92.77971
1657260044001,92.91896
1657260044999,92.913734
