,cutTime,cutAcc
0,1657259937231,13.660701935539239
1,1657259937433,16.512493421082716
2,1657259938137,14.528740871994998
3,1657259939221,15.944007149392181
4,1657259941738,20.335678952075316
5,1657259943597,22.353761780973738
6,1657259944152,19.60591146912122
7,1657259944969,17.664898966195558
8,1657259945501,16.930721624390504
9,1657259946053,18.760297893847287
10,1657259946376,13.708860199105807
11,1657259946612,22.52522644087766
12,1657259947156,21.776380928065922
13,1657259947719,19.2132328268083
14,1657259948609,20.362183078271862
15,1657259949135,21.20187139205206
16,1657259949682,19.87297461673245
17,1657259950817,18.990043697624106
18,1657259951705,18.12608882836072
19,1657259952255,23.428245401175115
20,1657259952600,14.91647899675374
21,1657259952865,13.714046440141159
22,1657259953722,17.51276139791292
23,1657259954369,14.451708670573362
24,1657259955053,17.01630675110966
25,1657259955835,20.920271744119432
26,1657259956406,15.641430534643245
27,1657259956957,21.97567567422373
28,1657259957776,17.41328381255517
29,1657259958347,13.980189716939181
30,1657259958689,14.386536962269464
31,1657259959381,17.72150129975617
32,1657259962913,15.075430549408175
33,1657259963178,13.647058635100805
34,1657259963425,22.195153510340702
35,1657259963730,15.667971603337302
36,1657259964148,14.898033908549174
37,1657259964589,20.623933878538942
38,1657259964682,13.804035621181438
39,1657259965730,14.024439402572
40,1657259966378,20.415876821845735
41,1657259966679,14.221803071806683
42,1657259967359,15.14380525753198
43,1657259969534,16.242646048482708
44,1657259970289,18.564671713034624
45,1657259970600,14.249232350272425
46,1657259970886,20.08450219237997
47,1657259971496,18.214096805138677
48,1657259972121,26.13188501391926
49,1657259972445,14.152399742661219
50,1657259972960,19.105825956672508
51,1657259973741,15.810469796220826
52,1657259974423,23.66830887568568
53,1657259975414,20.196285955242885
54,1657259975738,14.098324497480109
55,1657259976015,19.329042074430358
56,1657259976823,18.59110057264602
57,1657259977800,18.096154248716225
58,1657259978743,16.76056067083056
59,1657259979219,13.800788316145741
60,1657259979600,23.870135889608463
61,1657259980514,19.171843036102945
62,1657259981165,17.490550584239216
63,1657259982005,15.338082583407495
64,1657259983159,18.01518808430417
65,1657259984079,16.19844657292596
66,1657259985060,20.194746058650985
67,1657259991474,13.942451205946183
68,1657259992141,15.887387147422636
69,1657259992958,13.52406187455403
70,1657259994670,15.127300052422244
71,1657259997428,16.03489421534891
72,1657259998716,16.000731904007527
73,1657259999370,13.613664466451267
74,1657259999663,13.530261973593417
75,1657260001622,13.805784452471254
76,1657260002398,15.070021880568047
77,1657260002834,14.30580902518767
78,1657260003405,14.557585566058977
79,1657260004551,15.166503940045443
80,1657260005678,14.17169860942827
81,1657260006615,13.65185319316961
82,1657260007598,20.11566048361951
83,1657260008828,14.770306818977899
84,1657260009721,15.095044018634361
85,1657260010597,17.079034966140625
86,1657260012120,16.10778801052557
